날짜,계약수,계약금액,미결제약정수량
1999. 04,1442,85401,150
1999. 05,7448,446132,2097
1999. 06,15110,882245,5161
1999. 07,35681,2125860,10311
1999. 08,29055,1741767,11416
1999. 09,38843,2332256,14655
1999. 10,31276,1884963,17973
1999. 11,47049,2768286,20532
1999. 12,53345,3028655,22516
2000. 01,97834,5533901,25011
2000. 02,101407,5726436,29014
2000. 03,95651,5341774,29785
2000. 04,69807,3875402,31864
2000. 05,96186,5408294,27327
2000. 06,107099,5988628,27714
2000. 07,97604,5442275,31956
2000. 08,71773,3998325,30008
2000. 09,132092,7372569,28474
2000. 10,146729,8291759,34715
2000. 11,188505,10840030,37598
2000. 12,151043,9168093,31261
2001. 01,189774,12063971,30747
2001. 02,128839,8074222,32065
2001. 03,186144,12030205,31871
2001. 04,168623,11185073,28050
2001. 05,171005,11105111,26317
2001. 06,129036,8361762,26571
2001. 07,152383,9939638,27151
2001. 08,133065,8561249,24557
2001. 09,115785,7508117,25197
2001. 10,86716,5652830,23552
2001. 11,118932,7633986,26144
2001. 12,96677,6232011,23754
2002. 01,159896,10548281,26193
2002. 02,83986,5548657,25053
2002. 03,100282,6635945,27633
2002. 04,118123,7784924,24300
2002. 05,140337,8861546,21891
2002. 06,96005,5876844,19615
2002. 07,145198,8621117,22494
2002. 08,119152,7140695,22387
2002. 09,109607,6636306,22676
2002. 10,126502,7863987,21818
2002. 11,122003,7393261,19367
2002. 12,113500,6878465,19675
2003. 01,109877,6491909,19797
2003. 02,112860,6737285,18371
2003. 03,127868,7915120,17215
2003. 04,155880,9614717,19886
2003. 05,116907,7019043,20394
2003. 06,115110,6879576,23505
2003. 07,119742,7084235,21939
2003. 08,120508,7113447,25434
2003. 09,98981,5783951,29054
2003. 10,161418,9429897,31400
2003. 11,139715,8296066,30805
2003. 12,127257,7603063,31779
2004. 01,128912,7636667,34917
2004. 02,163536,9564731,47866
2004. 03,172719,10099992,51184
2004. 04,166682,9625118,61922
2004. 05,184254,10873566,57639
2004. 06,195619,11354490,60951
2004. 07,187293,10858846,60660
2004. 08,165143,9575439,60058
2004. 09,141853,8157593,62332
2004. 10,145372,8315202,66298
2004. 11,226614,12317541,66555
2004. 12,212294,11161296,74192
2005. 01,170103,8837862,83206
2005. 02,181339,9232091,94455
2005. 03,237522,11961286,102935
2005. 04,195466,9883369,101201
2005. 05,231835,11623681,103175
2005. 06,241874,12222552,101545
2005. 07,256374,13287028,94626
2005. 08,252191,12861510,98573
2005. 09,195795,10082384,95464
2005. 10,267489,13973684,94132
2005. 11,236944,12334463,86514
2005. 12,200073,10267339,85520
2006. 01,199711,9822224,88172
2006. 02,190745,9251847,98201
2006. 03,310890,15161250,113493
2006. 04,240142,11446661,134413
2006. 05,269995,12680295,131178
2006. 06,280267,13412166,123900
2006. 07,226221,10731598,131175
2006. 08,211985,10184365,136739
2006. 09,335324,15982968,116770
2006. 10,195588,9344096,115985
2006. 11,303059,14162329,145140
2006. 12,340714,15726543,151918
2007. 01,337963,15836872,182639
2007. 02,257666,12067305,197324
2007. 03,455237,21492843,211628
2007. 04,256950,11960841,230608
2007. 05,355933,16492312,262305
2007. 06,541473,25141831,284870
2007. 07,369481,16958746,349049
2007. 08,392362,18262289,325155
2007. 09,754884,35192347,342591
2007. 10,549463,25127967,455614
2007. 11,555957,25474673,432961
2007. 12,924765,42620086,445906
2008. 01,505608,23818195,380303
2008. 02,380427,17944425,376123
2008. 03,740608,36455290,262925
2008. 04,369912,18284799,284535
2008. 05,413868,21542363,262507
2008. 06,603281,31111731,240690
2008. 07,461966,23498729,223860
2008. 08,451329,23579726,202104
2008. 09,755128,42282892,159129
2008. 10,547718,36136055,114257
2008. 11,599243,41549412,123828
2008. 12,829056,57180365,151591
2009. 01,690165,46464455,129239
2009. 02,674643,48045521,125630
2009. 03,953254,69985439,131036
2009. 04,1471229,65422758,665337
2009. 05,4444811,55727983,731625
2009. 06,4903936,61569879,777989
2009. 07,4420415,55878734,822652
2009. 08,4275209,52994923,779516
2009. 09,4687611,57022909,951625
2009. 10,5424102,63550082,926164
2009. 11,5027931,58554462,934082
2009. 12,4188513,48878151,914825
2010. 01,4748382,53990185,925731
2010. 02,4555621,52836955,889483
2010. 03,3952524,44910469,967648
2010. 04,4834868,53979341,1076492
2010. 05,6568652,76754558,848503
2010. 06,6101860,74168055,791592
2010. 07,5409323,65300413,833395
2010. 08,6160204,72916124,811253
2010. 09,4969757,57942053,779886
2010. 10,6209507,69700616,878529
2010. 11,6610556,74640977,875623
2010. 12,5572314,64044641,825555
2011. 01,4690532,52547785,830685
2011. 02,4496176,50362621,820326
2011. 03,5526010,62203254,798320
2011. 04,5491286,59749943,903927
2011. 05,5900466,64028468,913388
2011. 06,6104670,66129074,858517
2011. 07,5229632,55455765,885231
2011. 08,6654345,71808117,715186
2011. 09,7394139,83124750,662895
2011. 10,6580754,76065739,578942
2011. 11,6814755,77314264,512243
2011. 12,5329702,61283316,587673
2012. 01,4184820,48082982,587059
2012. 02,4999442,56226176,606144
2012. 03,4704954,53095513,598784
2012. 04,4461424,50767062,599245
2012. 05,5413697,62927603,569508
2012. 06,5199603,60628145,569452
2012. 07,5486815,62803584,569814
2012. 08,4060145,45989692,541519
2012. 09,3880525,43633237,571978
2012. 10,3652002,40510466,687515
2012. 11,4390024,47762320,694342
2012. 12,3115849,33530485,714092
2013. 01,4481415,47831235,683670
2013. 02,4354169,47310749,655030
2013. 03,4414954,48818141,663073
2013. 04,5210468,58666855,639408
2013. 05,4898058,54558161,655750
2013. 06,4751989,53991215,618733
2013. 07,5115199,57778996,589742
2013. 08,4088735,45717883,564952
2013. 09,3932581,42763719,538254
2013. 10,3705241,39512711,568533
2013. 11,3500731,37308925,599315
2013. 12,3360926,35506779,618408
2014. 01,4099652,43699887,570805
2014. 02,4182965,44780326,545774
2014. 03,3784128,40559528,588271
2014. 04,4079210,42492045,558441
2014. 05,3113109,31924168,563416
2014. 06,2837504,28923996,593049
2014. 07,3694807,37934907,593522
2014. 08,3790547,38923609,601710
2014. 09,4075758,42242213,615681
2014. 10,4745042,50423932,587864
2014. 11,5522014,60580289,565581
2014. 12,4738986,52352895,543504
2015. 01,4970122,54058045,532284
2015. 02,3774442,41510602,550837
2015. 03,4850649,54291772,555221
2015. 04,3988173,43415609,580214
2015. 05,3714212,40626338,585142
2015. 06,4801008,53464003,538065
2015. 07,4452276,51038433,542761
2015. 08,4746111,56027689,522190
2015. 09,4448320,52574148,541961
2015. 10,4453433,50900631,556824
2015. 11,4182911,48358700,667046
2015. 12,4171642,49082589,613853
2016. 01,5065724,61100493,651402
2016. 02,4842212,58703207,778115
2016. 03,5503185,65023071,869410
2016. 04,5271112,60578174,946576
2016. 05,5033456,59018470,979435
2016. 06,5257990,61495702,1039193
2016. 07,5158879,58895502,1029393
2016. 08,5531479,61250917,988922
2016. 09,5183709,57403471,909972
2016. 10,5963777,67321958,934776
2016. 11,6762722,78740825,813121
2016. 12,4734366,55884947,777433
2017. 01,5334647,63091397,826380
2017. 02,5157762,58975758,773254
2017. 03,5404512,61349307,782624
2017. 04,5697569,64661902,781095
2017. 05,4970011,55970447,779275
2017. 06,5196643,58721694,765525
2017. 07,5563214,63120333,745522
2017. 08,5386256,61055631,740167
2017. 09,4968226,56249449,739134
2017. 10,3959121,44788667,688090
2017. 11,5024464,55416602,742972
2017. 12,4219952,45871560,739125
2018. 01,6113182,65199285,776401
2018. 02,5897036,63785222,710336
2018. 03,5543552,59302054,684789
2018. 04,5898170,62973216,671771
2018. 05,5974636,64348131,642409
2018. 06,6518305,71354572,669385
2018. 07,7636735,85755697,653373
2018. 08,6428069,72187762,645465
2018. 09,5501612,61646790,650759
