날짜,원/미국달러(매매기준율)
1999. 04,1176.4
1999. 05,1186.3
1999. 06,1155.9
1999. 07,1206.9
1999. 08,1184.9
1999. 09,1218.7
1999. 10,1200.5
1999. 11,1157.5
1999. 12,1145.4
2000. 01,1122.1
2000. 02,1131.8
2000. 03,1108.3
2000. 04,1110.3
2000. 05,1133.8
2000. 06,1114.8
2000. 07,1116.2
2000. 08,1108.8
2000. 09,1115
2000. 10,1136.7
2000. 11,1195.3
2000. 12,1259.7
2001. 01,1265.5
2001. 02,1245.7
2001. 03,1328
2001. 04,1324.7
2001. 05,1292.9
2001. 06,1300.7
2001. 07,1301.4
2001. 08,1283.8
2001. 09,1309.1
2001. 10,1296.1
2001. 11,1274
2001. 12,1326.1
2002. 01,1314.8
2002. 02,1327.7
2002. 03,1326.4
2002. 04,1292.2
2002. 05,1233.3
2002. 06,1201.8
2002. 07,1197
2002. 08,1200.5
2002. 09,1225.5
2002. 10,1233.4
2002. 11,1208
2002. 12,1200.4
2003. 01,1170.5
2003. 02,1186.8
2003. 03,1252.9
2003. 04,1213.1
2003. 05,1206.6
2003. 06,1193.1
2003. 07,1180
2003. 08,1179.9
2003. 09,1150.2
2003. 10,1177.3
2003. 11,1202.6
2003. 12,1197.8
2004. 01,1173.6
2004. 02,1174.5
2004. 03,1153.6
2004. 04,1167.7
2004. 05,1165.7
2004. 06,1152.5
2004. 07,1168.3
2004. 08,1153.8
2004. 09,1147.9
2004. 10,1126
2004. 11,1047.9
2004. 12,1043.8
2005. 01,1026.4
2005. 02,1008.1
2005. 03,1024.3
2005. 04,1002.5
2005. 05,1002.5
2005. 06,1024.4
2005. 07,1028.3
2005. 08,1031
2005. 09,1038
2005. 10,1042.7
2005. 11,1036.3
2005. 12,1013
2006. 01,971
2006. 02,969
2006. 03,975.9
2006. 04,945.7
2006. 05,947.4
2006. 06,960.3
2006. 07,953.1
2006. 08,959.6
2006. 09,945.2
2006. 10,944.2
2006. 11,929.9
2006. 12,929.6
2007. 01,940.9
2007. 02,938.3
2007. 03,940.3
2007. 04,929.4
2007. 05,929.9
2007. 06,926.8
2007. 07,923.2
2007. 08,939.9
2007. 09,920.7
2007. 10,907.4
2007. 11,929.6
2007. 12,938.2
2008. 01,943.9
2008. 02,937.3
2008. 03,991.7
2008. 04,999.7
2008. 05,1031.4
2008. 06,1043.4
2008. 07,1008.5
2008. 08,1081.8
2008. 09,1187.7
2008. 10,1291.4
2008. 11,1482.7
2008. 12,1257.5
2009. 01,1368.5
2009. 02,1516.4
2009. 03,1377.1
2009. 04,1348
2009. 05,1272.9
2009. 06,1284.7
2009. 07,1240.5
2009. 08,1244.9
2009. 09,1188.7
2009. 10,1200.6
2009. 11,1167.4
2009. 12,1167.6
2010. 01,1156.5
2010. 02,1158.4
2010. 03,1130.8
