날짜,원/미국달러,원/위안,원/일본엔(100엔),원/유로
201601,1208.4,182.78,1017.13,1322.17
201602,1235.4,189,1085.83,1348.32
201603,1153.5,177.69,1026.02,1307.43
201604,1143.9,175.95,1058.19,1298.38
201605,1190.6,180.77,1072.76,1326.8
201606,1164.7,174.67,1132.15,1295.5
201607,1125.7,168.94,1073.68,1246.71
201608,1118.5,167.18,1086.29,1246.85
201609,1096.3,163.97,1083.68,1230.32
201610,1145.2,168.65,1094.42,1257.14
201611,1168.5,168.98,1038.81,1244.34
201612,1208.5,173.26,1036.81,1267.6
201701,1157.8,169.7,1017.89,1239.48
201702,1132.1,165.04,1004.04,1198.55
201703,1116.1,162.27,998.52,1192.61
201704,1130.1,163.71,1015.96,1228.14
201705,1123.9,164.59,1014.3,1255.56
201706,1139.6,167.79,1017.55,1303.99
201707,1119.1,165.85,1012.26,1315.67
201708,1122.8,170.23,1017.44,1335.63
201709,1146.7,172.35,1020.42,1350.87
201710,1125,169.25,994.17,1310.06
201711,1082.4,164.01,966.51,1282.7
201712,1071.4,163.65,949.11,1279.25
201801,1071.5,168.99,985.02,1329.09
201802,1071,170.2,997.25,1310.42
201803,1066.5,169.68,1001.46,1311.95
201804,1076.2,169.94,985.94,1304.46
201805,1081.3,168.27,993.98,1261.34
201806,1121.7,169.41,1014.79,1297.02
201807,1116.7,163.32,1005.95,1307.43
201808,1108.8,162.29,998.65,1293.19
201809,1112.7,161.78,981.17,1294.57
201810,1140.6,163.59,1008.89,1294.01
201811,1121.8,161.73,988.98,1277.67
201812,1118.1,162.76,1013.18,1279.16
201901,1117.2,165.89,1024.81,1283.05
201902,1117.8,167.14,1007.62,1271.5
201903,1137.8,168.74,1028.24,1277.46
201904,1158.2,171.93,1037.02,1295.33
201905,1190,171.77,1085.82,1324.83
201906,1156.8,168.08,1073.35,1315.11
201907,1182,171.57,1088.45,1318.82
201908,1215.2,169.48,1140.66,1343.83
201909,1201.3,168.52,1113.4,1314.64
201910,1168.4,165.45,1074.05,1303.17
201911,1179.3,167.87,1076.89,1298.47
201912,1157.8,165.74,1063.47,1297.43
202001,1183.5,169.55,1086.68,1305.76
202002,1215.9,173.08,1109.95,1337.61
202003,1222.6,172.43,1130.83,1348.65
202004,1225.2,172.83,1147.14,1326.4
202005,1239.4,172.63,1150.63,1372.57
202006,1200.7,169.66,1116.05,1350.19
202007,1191.4,170.26,1137.32,1411.21
202008,1185.1,172.31,1123,1411.22
202009,1173.5,171.9,1112.06,1369.42
202010,1133.4,168.81,1083.5,1323.07
202011,1104.4,168.02,1061.57,1321.58
202012,1088,166.96,1054.26,1338.24
202101,1114.6,171.45,1069.26,1351.12
202102,1108.4,171.86,1043.15,1349.86
202103,1133.5,172.35,1027.33,1328.29
202104,1107.4,171.2,1016.9,1342.33
202105,1116,175.22,1015.7,1360.91
202106,1130,174.84,1022.12,1344.42
