날짜,미국달러선물 계약수 (계약),미국달러선물 계약금액 (백만원),미국달러선물 미결제약정 (계약),엔선물 계약수 (계약),엔선물 계약금액 (백만원),엔선물 미결제약정 (계약),유로선물 계약수 (계약),유로선물 계약금액 (백만원),유로선물 미결제약정 (계약),위안선물 계약수 (계약),위안선물 계약금액 (백만원),위안선물 미결제약정 (계약)
201601,5065724,61100493,651402,47045,481699,13072,69837,919619,44767,791,14358,1
201602,4842212,58703207,778115,49261,522708,11820,69278,941107,41110,423,7825,0
201603,5503185,65023071,869410,36761,386983,11267,72343,953442,40842,1014,18552,0
201604,5271112,60578174,946576,30187,317107,9915,56443,733942,40766,229,4076,0
201605,5033456,59018470,979435,28528,307291,11148,62749,835168,40195,0,0,0
201606,5257990,61495702,1039193,51492,573356,15180,61585,812402,39128,514,9099,0
201607,5158879,58895502,1029393,53671,589467,14621,68349,867401,42099,718,12263,0
201608,5531479,61250917,988922,42096,458283,16660,60660,744714,42241,833,13914,0
201609,5183709,57403471,909972,41417,450011,17553,67192,835153,41260,123,2033,7
201610,5963777,67321958,934776,43050,466894,16390,58980,735485,40445,28,469,0
201611,6762722,78740825,813121,57810,624292,13200,61534,773775,36791,92,1560,0
201612,4734366,55884947,777433,40339,408169,13859,62323,774231,36892,198,3403,39
201701,5334647,63091397,826380,36467,375336,14154,57203,718023,34601,208,3579,29
201702,5157762,58975758,773254,42334,425007,17056,53038,642712,33451,272,4521,106
201703,5404512,61349307,782624,46099,461075,17967,63520,772739,31991,600,9839,144
201704,5697569,64661902,781095,50417,523309,11919,51424,623197,34320,599,9859,96
201705,4970011,55970447,779275,45950,458078,12702,64095,790935,35589,638,10401,66
201706,5196643,58721694,765525,44750,457671,13513,57599,727344,38093,335,5547,120
201707,5563214,63120333,745522,40602,409153,12961,66534,866220,38042,368,6181,90
201708,5386256,61055631,740167,48653,502858,13282,66500,890579,39409,209,3563,87
201709,4968226,56249449,739134,46311,474210,13097,70920,956792,41005,344,5935,89
201710,3959121,44788667,688090,48461,488422,16055,66432,893619,40911,249,4273,80
201711,5024464,55416602,742972,55440,542930,17203,70991,924483,39965,845,13935,210
201712,4219952,45871560,739125,60898,587204,16588,61816,794896,40470,483,7945,84
201801,6113182,65199285,776401,54225,519788,19566,66317,850968,42693,464,7624,81
201802,5897036,63785222,710336,44051,440364,14163,65630,876526,40324,246,4204,83
201803,5543552,59302054,684789,41849,422723,12577,61880,817561,36866,251,4241,60
201804,5898170,62973216,671771,51981,518335,18074,55081,729167,36823,249,4230,38
201805,5974636,64348131,642409,62883,615708,17602,60108,768032,34658,232,3916,46
201806,6518305,71354572,669385,62032,612466,16206,53954,682311,33862,180,3059,43
201807,7636735,85755697,653373,51796,521794,15834,55341,731131,33314,252,4193,107
201808,6428069,72187762,645465,50979,519987,17194,47361,610282,32275,509,8325,172
201809,5501612,61646790,650759,54556,548461,20396,49769,651162,32088,500,8161,154
201810,7088360,80326526,626049,71017,718422,16412,50913,670316,29612,724,11858,84
201811,6910902,77927016,616246,69478,691975,15694,50489,646677,29447,535,8698,100
201812,5310491,59617515,591719,68798,684752,17621,44017,563515,25499,399,6522,76
201901,6839059,76671226,632044,92770,957952,17072,47393,606988,27272,259,4267,85
201902,5381159,60434732,659408,55693,566197,16978,43823,557341,26833,199,3305,84
201903,6018894,68098770,675336,56913,580080,17396,47697,611737,25630,363,6125,76
201904,7218787,82434474,768236,61846,633666,20947,49408,635580,28486,362,6146,101
201905,9444469,111874218,728892,70526,764029,21470,53027,706647,28474,324,5560,107
201906,7040310,82752206,690287,65470,714119,20313,49993,668550,28949,331,5643,104
201907,7622893,89597298,713666,76220,828709,21958,55839,739842,29657,266,4539,114
201908,8535214,103294507,677062,90259,1033105,27367,52867,715471,28256,280,4812,120
201909,6418698,76698306,688170,79629,885055,25931,53795,708916,27962,284,4758,138
201910,7515147,88857058,701112,73580,804354,24729,52717,691919,29801,346,5770,136
201911,7336316,85689224,744296,57969,623322,22912,52948,681858,30553,343,5705,158
201912,6185645,72883623,688640,59586,650340,20179,52246,689701,31372,359,6037,165
202001,8564484,99773560,729227,62052,657068,20966,67208,869601,32339,449,7555,167
202002,10989407,131286543,789439,63881,690570,19157,59698,771009,30379,384,6519,157
202003,12152256,147762205,620077,82688,948677,17903,94344,1277361,26544,616,10598,157
202004,8224105,100655289,652193,50855,577326,17866,66408,886035,26740,314,5393,157
202005,7094786,87204378,760810,46010,527170,18686,64378,857653,28643,316,5454,157
202006,9646036,116384743,667940,57338,640417,15944,85401,1159386,30916,3808,64778,157
202007,9031445,108305214,718795,43028,483218,15312,81732,1121248,34809,472,8116,157
202008,6945869,82385827,763011,43814,488563,15579,73714,1026898,33794,374,6371,157
202009,7752048,91116998,750373,41758,466801,14582,78395,1092401,32460,318,5522,157
202010,7968352,91119308,805156,37375,406662,14600,72647,977428,29089,530,8997,157
202011,9075021,101435933,787897,43470,460985,14837,70693,929106,28564,387,6508,150
202012,8080729,88411448,863682,31548,332760,11723,61784,822588,24228,305,5105,149
202101,8816494,96842823,886339,29567,312919,10218,59793,799992,27435,290,4932,141
202102,7751130,86311877,927596,26949,285915,9980,62485,842134,26944,285,4901,142
202103,8905739,100882055,878377,27559,287803,9300,62698,848886,24860,285,4965,141
202104,7981906,89268875,895082,25040,257578,8620,62982,842624,29177,282,4820,141
202105,7432911,83604348,878297,22741,234290,8451,66226,903920,30822,342,5965,131
202106,8025470,90161651,817949,23719,241897,7181,65923,893213,30404,332,5789,141
